"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"SEC 35 MIDDLE",3.241354,3.180711,3.124853,3.071091,3.018662,2.975637,2.936698,2.893532,2.852584,2.822156,2.804817,2.803081,2.809367,2.805094,2.778959,2.745618,2.731005,2.757044,2.825913,2.913367,2.970216,2.981895,2.967791,2.937592,2.896258,2.85107,2.807481,2.764421,2.721498,2.681667,2.648926,2.623318,2.607055,2.600996,2.611842,2.666909,2.793399,2.964818,14.208,10.006,1.08,-2,1,0.2,"Wheat16H","9/08/2018","20:16:36",10000,35.7,"GPGGA",21609,46.0464934,"N",-109.196877,"W",32675,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.2626,3.197454,3.136574,3.079221,3.027866,2.987321,2.94692,2.899737,2.858659,2.828815,2.814731,2.818917,2.832189,2.832239,2.806094,2.77068,2.755504,2.784893,2.864431,2.968908,3.038599,3.053332,3.037434,3.005012,2.961284,2.912787,2.867864,2.82363,2.778696,2.73564,2.70053,2.672364,2.653612,2.645306,2.657416,2.71701,2.849764,3.031993,12.832,8.4291,1.08,-2,1,0.2,"Wheat16H","9/08/2018","20:45:36",10000,35.2,"GPGGA",24512,46.0519741,"N",-109.199610833333,"W",32718,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.637339,3.564056,3.495259,3.427653,3.366049,3.315411,3.267766,3.214,3.165585,3.127816,3.105785,3.100135,3.105194,3.098384,3.068543,3.031382,3.01676,3.048456,3.132282,3.234684,3.293723,3.293651,3.264989,3.220649,3.166677,3.109764,3.056387,3.005222,2.954717,2.907646,2.867472,2.835405,2.81484,2.805029,2.815711,2.875432,3.012964,3.20199,12.59,8.9193,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:33:37",10000,34.9,"GPGGA",223239,46.0457368666667,"N",-109.193943166667,"W",32224,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.627103,3.554557,3.486078,3.418743,3.355258,3.306095,3.259576,3.207025,3.158319,3.121467,3.099368,3.094225,3.099318,3.09251,3.06317,3.026295,3.012218,3.044141,3.127641,3.228827,3.287907,3.289499,3.262548,3.219026,3.166005,3.109843,3.057006,3.005188,2.955468,2.908761,2.869402,2.8377,2.81778,2.809139,2.820583,2.880133,3.018736,3.207974,12.69,9.3231,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:34:23",10000,35.1,"GPGGA",223329,46.0452949333333,"N",-109.1939247,"W",32225,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.503169,3.437116,3.371522,3.309999,3.255163,3.210954,3.167414,3.11839,3.073947,3.039232,3.019028,3.015232,3.020669,3.014453,2.988358,2.957036,2.947873,2.983132,3.064282,3.158876,3.210553,3.208282,3.180696,3.138481,3.087836,3.034221,2.984229,2.936524,2.889442,2.845371,2.80892,2.780139,2.762084,2.754696,2.766922,2.826474,2.960707,3.14131,13.223,9.9446,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:35:20",10000,35.5,"GPGGA",223415,46.0448862833333,"N",-109.1939304,"W",32226,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.725391,3.644163,3.569731,3.496548,3.430399,3.379697,3.330144,3.273154,3.223046,3.186989,3.166879,3.167401,3.180263,3.177744,3.148606,3.110079,3.09546,3.132842,3.232475,3.356467,3.428388,3.431622,3.400301,3.351642,3.292343,3.231535,3.17456,3.1202,3.06642,3.015524,2.971924,2.93656,2.913142,2.902352,2.913805,2.978237,3.126559,3.327282,11.191,7.9178,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:36:23",10000,36,"GPGGA",223512,46.0446556833333,"N",-109.19442015,"W",32227,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.658362,3.577306,3.501778,3.428967,3.365488,3.31425,3.262725,3.205479,3.155354,3.119224,3.099873,3.099945,3.111908,3.109676,3.081118,3.043925,3.029985,3.068544,3.166945,3.289268,3.359317,3.361709,3.330225,3.281858,3.223568,3.163697,3.108174,3.055669,3.003542,2.954471,2.911923,2.877589,2.855229,2.8448,2.855856,2.919672,3.064979,3.263075,10.763,8.0608,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:37:14",10000,36.7,"GPGGA",223615,46.0446568666667,"N",-109.19521675,"W",32228,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.532797,3.461733,3.392224,3.326021,3.268706,3.224522,3.179882,3.129101,3.082627,3.048725,3.030966,3.031106,3.041471,3.038968,3.012662,2.978201,2.965373,2.999394,3.088272,3.197762,3.260982,3.264781,3.238286,3.196177,3.144332,3.090333,3.039386,2.990922,2.941785,2.896281,2.856925,2.825598,2.804828,2.795667,2.806746,2.866562,3.002843,3.188131,12.272,8.2738,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:37:44",10000,36.6,"GPGGA",223706,46.0446584333333,"N",-109.195875516667,"W",32229,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.575609,3.50575,3.438733,3.372685,3.314278,3.271661,3.228186,3.176411,3.129344,3.094848,3.074961,3.07232,3.079342,3.074474,3.046293,3.011727,2.998099,3.029609,3.112187,3.214117,3.272161,3.27406,3.247727,3.207007,3.156181,3.103275,3.053205,3.00565,2.957344,2.912448,2.874175,2.843769,2.822574,2.81316,2.823251,2.880944,3.011098,3.189632,12.807,8.8247,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:38:18",10000,36.6,"GPGGA",223736,46.0446590666667,"N",-109.1962821,"W",32230,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.509514,3.43998,3.372862,3.308815,3.252589,3.210413,3.167579,3.117375,3.07164,3.039042,3.020442,3.020357,3.029918,3.026986,2.999888,2.966463,2.954306,2.988035,3.07473,3.180048,3.241224,3.243975,3.217498,3.175106,3.123281,3.068512,3.017131,2.968258,2.918842,2.873465,2.834694,2.804195,2.783432,2.774665,2.785404,2.844786,2.979965,3.165772,12.582,8.8911,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:38:43",10000,36.5,"GPGGA",223811,46.0446602333333,"N",-109.19675525,"W",32231,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.569299,3.496411,3.427578,3.360931,3.302741,3.259929,3.217318,3.16542,3.118536,3.084434,3.068322,3.070276,3.082179,3.081802,3.056047,3.021016,3.009208,3.047562,3.142385,3.257173,3.323596,3.327347,3.299497,3.254005,3.199805,3.143124,3.089831,3.038273,2.987989,2.940084,2.89947,2.866909,2.845472,2.835744,2.847506,2.909774,3.051374,3.243472,10.875,8.5693,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:39:13",10000,36.6,"GPGGA",223835,46.0446611166667,"N",-109.1970679,"W",32232,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.597059,3.52551,3.457805,3.392725,3.332945,3.284956,3.239086,3.187815,3.141351,3.107373,3.088608,3.088056,3.098232,3.095551,3.067634,3.032328,3.019046,3.052881,3.14117,3.251032,3.31535,3.318239,3.290778,3.24731,3.193993,3.137614,3.083961,3.033548,2.983217,2.936505,2.895901,2.864089,2.84278,2.832661,2.8431,2.903631,3.039953,3.228941,12.473,8.5162,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:39:41",10000,36.6,"GPGGA",223905,46.0446616166667,"N",-109.197457866667,"W",32233,"FarmerB_PRO_PRO_2018_sec35middle.csv"
