"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"HENRYS",3.534716,3.445092,3.356643,3.286178,3.231812,3.185937,3.139811,3.081482,3.024956,2.982993,2.962233,2.964365,2.976962,2.978049,2.953205,2.914966,2.89822,2.931005,3.019501,3.136226,3.220336,3.241611,3.22165,3.180546,3.12677,3.067118,3.010086,2.955719,2.901318,2.85212,2.810709,2.776115,2.752892,2.743081,2.75341,2.813772,2.955276,3.173554,10.7778,10.498,NA,0,9.87,10.7778,"WheatUS16","25/07/2016","01:41:28",10000,NA,"GPGGA",154059.34,47.89676282,"N",-110.547668,"W",44459,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.607729,3.508707,3.409502,3.333755,3.272192,3.220027,3.170213,3.105314,3.043002,2.998812,2.976221,2.973845,2.984154,2.982432,2.951477,2.910326,2.893729,2.924254,3.013645,3.134806,3.219896,3.240752,3.220475,3.178488,3.121922,3.061196,3.000937,2.942828,2.886157,2.835196,2.78992,2.754761,2.731979,2.719868,2.731414,2.794728,2.943789,3.176304,12.4416,9.8647,NA,0,11.64,12.4416,"WheatUS16","25/07/2016","01:40:34",10000,NA,"GPGGA",154024.94,47.89675758,"N",-110.5485959,"W",44460,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.69068,3.592673,3.492925,3.416593,3.35443,3.301163,3.250308,3.186347,3.12499,3.077834,3.053339,3.050521,3.058796,3.055497,3.025074,2.983771,2.963315,2.991279,3.07413,3.188774,3.271539,3.291934,3.274395,3.234708,3.1785,3.117411,3.059094,3.002873,2.947706,2.896775,2.851825,2.816322,2.792291,2.781728,2.792521,2.856904,3.005861,3.236272,13.3158,9.8833,NA,0,12.57,13.3158,"WheatUS16","25/07/2016","01:40:51",10000,NA,"GPGGA",154042.94,47.89675699,"N",-110.5481134,"W",44461,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.872474,3.764974,3.660533,3.581902,3.516,3.45815,3.403204,3.33611,3.27223,3.225759,3.200189,3.194398,3.201115,3.195618,3.163505,3.123509,3.107375,3.140913,3.232339,3.35304,3.430919,3.442004,3.41427,3.367524,3.306729,3.24279,3.180573,3.121462,3.063745,3.010718,2.964298,2.928283,2.904297,2.89387,2.907224,2.977288,3.139621,3.391944,13.7482,10.289,NA,0,13.03,13.7482,"WheatUS16","25/07/2016","07:44:04",10000,NA,"GPGGA",214308.04,47.8967491,"N",-110.5493578,"W",44462,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.545159,3.452422,3.360507,3.288078,3.231848,3.184558,3.13628,3.074713,3.017509,2.976146,2.953522,2.953448,2.964584,2.963683,2.937329,2.90135,2.885246,2.918815,3.01105,3.130849,3.212539,3.226886,3.200552,3.154631,3.096437,3.034368,2.975117,2.920285,2.866056,2.815821,2.772673,2.737522,2.71356,2.702839,2.714944,2.776243,2.921089,3.147483,11.5486,10.363,NA,0,10.69,11.5486,"WheatUS16","25/07/2016","07:10:26",10000,NA,"GPGGA",211000.44,47.89673056,"N",-110.5491018,"W",44463,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.403121,3.316274,3.230896,3.164204,3.11366,3.070424,3.026885,2.970405,2.914543,2.875363,2.856077,2.854752,2.865495,2.866904,2.842003,2.807353,2.793334,2.82432,2.909495,3.022846,3.100336,3.115998,3.094168,3.052744,2.998594,2.941357,2.888046,2.836861,2.787199,2.74148,2.700655,2.668646,2.646979,2.635784,2.646734,2.705019,2.839036,3.046564,11.1068,10.46,NA,0,10.22,11.1068,"WheatUS16","25/07/2016","03:24:27",10000,NA,"GPGGA",172318.34,47.89672238,"N",-110.548284,"W",44464,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.827327,3.719361,3.616047,3.534595,3.468446,3.410796,3.354724,3.287381,3.223827,3.177127,3.149703,3.145214,3.150184,3.144207,3.112487,3.071319,3.054538,3.087746,3.178473,3.298081,3.377792,3.391214,3.366118,3.321277,3.261862,3.198637,3.138233,3.081895,3.025072,2.972636,2.927434,2.890681,2.867958,2.859722,2.873292,2.943579,3.103345,3.352534,14.0208,10.13,NA,0,13.32,14.0208,"WheatUS16","25/07/2016","06:12:14",10000,NA,"GPGGA",201123.1,47.89670749,"N",-110.5496043,"W",44465,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.514452,3.424072,3.337313,3.268846,3.214593,3.170453,3.127457,3.069707,3.013896,2.975597,2.956869,2.958949,2.973817,2.97739,2.952434,2.916742,2.903028,2.938045,3.030251,3.152341,3.236655,3.257343,3.237051,3.193557,3.137351,3.077117,3.018779,2.963927,2.910956,2.862221,2.819354,2.786248,2.762635,2.751069,2.763382,2.825309,2.972531,3.200123,9.772,10.632,NA,0,8.8,9.772,"WheatUS16","25/07/2016","02:15:32",10000,NA,"GPGGA",161459.34,47.89669376,"N",-110.5480073,"W",44466,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.602839,3.505499,3.4096,3.332869,3.273233,3.224233,3.176794,3.113652,3.054191,3.011088,2.990346,2.992197,3.004676,3.005789,2.98006,2.941428,2.926436,2.96437,3.062947,3.193331,3.283216,3.299842,3.272366,3.223742,3.162745,3.097277,3.035732,2.97896,2.921748,2.870042,2.825318,2.788592,2.764143,2.753605,2.764852,2.829491,2.985662,3.226561,10.2984,10.322,NA,0,9.36,10.2984,"WheatUS16","25/07/2016","03:59:32",10000,NA,"GPGGA",175818.54,47.89668912,"N",-110.5488346,"W",44467,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.617989,3.520907,3.426598,3.353193,3.293408,3.242979,3.193828,3.130954,3.070615,3.029047,3.00762,3.007265,3.018287,3.016901,2.98802,2.950455,2.935833,2.969136,3.06148,3.18389,3.267066,3.285827,3.264438,3.220132,3.164021,3.103864,3.045415,2.990298,2.936327,2.885914,2.842813,2.808748,2.785419,2.775431,2.789854,2.855982,3.006315,3.24588,11.1538,10.081,NA,0,10.27,11.1538,"WheatUS16","25/07/2016","02:49:38",10000,NA,"GPGGA",164818.94,47.89666179,"N",-110.5483939,"W",44468,"FarmerI_PRO_PRO_2016_henrys.csv"
